icao_hex,registration,type,description,country,category,role,source
AE57CB,169006,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE57CC,169007,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE57CD,169008,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE57CE,169009,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE57CF,169010,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE57D0,169011,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5C56,169324,P8,BOEING P-8 Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5C57,169325,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5C58,169326,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5C5A,169328,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5C5B,169329,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5C5C,169330,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5C5D,169331,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5C5E,169332,P8,BOEING P-8 Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5C5F,169333,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5C60,169334,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5C61,169335,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5C62,169336,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5C63,169337,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5C64,169338,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5C65,169339,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5C66,169340,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5C67,169341,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5C68,169342,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5C69,169343,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5C6A,169344,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5C6B,169345,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5C6C,169346,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5C6D,169347,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5C6E,169348,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5E17,169349,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5E18,169426,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5F37,169542,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5F38,169543,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5F39,169544,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5F3A,169545,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5F3B,169546,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5F3C,169547,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5F3D,169548,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5F3E,169549,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5F3F,169550,P8,BOEING P-8 Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5F40,169551,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5F41,169552,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5F42,169553,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5F43,169554,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5F44,169555,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5F45,169556,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5F46,169557,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5F47,169558,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5F48,169559,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5F49,169560,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5F4A,169561,P8,,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5F4B,169562,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5F4C,169563,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5F4D,169564,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5F4E,169565,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5F4F,169566,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5F50,169567,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5F51,169568,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5F52,169569,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5F53,169570,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5F54,169571,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5F55,169572,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE5F56,169324,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE6783,169346,P8,BOEING P-8 Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE6790,169561,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE6820,169004,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE6A3A,170013,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE6A3B,170014,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE6A3C,170015,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE6A3D,170016,P8,BOEING P-8 Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE6A3E,170017,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE6A3F,170018,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE6A41,170269,P8,BOEING P-8 Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE749B,170476,P8,BOEING P-8 Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE749C,170477,P8,BOEING P-8 Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE749D,170478,P8,BOEING P-8 Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE749E,170479,P8,BOEING P-8 Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE749F,170480,P8,BOEING P-8 Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE74A0,170481,P8,,United States,military,US Navy maritime patrol,tar1090-db flag=10
